,每日PnL,净值,资金占用比例,杠杆倍数,换手率
2014-09-01,-3420.0,1.086655,0.0690411400122394,1.03087,0.04115090000000001
2014-09-02,-475.0,1.08618,0.06917858918411314,1.03212,0.023028250000000004
2014-09-03,-2180.0,1.084,0.06549815498154982,0.9733,0.022255800000000003
2014-09-04,-5925.0,1.0780750000000001,0.06706824664332259,0.99158,0.019928650000000003
2014-09-05,2430.0,1.080505,0.07099934752731361,1.055645,0.03952375
2014-09-09,3500.0,1.0840049999999999,0.06517894290155489,0.97069,0.02365685
2014-09-10,4400.0,1.088405,0.06916322508625007,1.03688,0.0233401
2014-09-11,-6355.0,1.08205,0.06990970842382514,1.04234,0.013998950000000001
2014-09-12,640.0,1.08269,0.06875726200482132,1.02484,0.0150752
2014-09-15,3290.0,1.08598,0.06537625002302068,0.97549,0.0243166
2014-09-16,-4410.0,1.08157,0.06562746747783316,0.97531,0.039979100000000004
2014-09-17,2325.0,1.083895,0.0694058465072724,1.035895,0.0082705
2014-09-18,3155.0,1.08705,0.06322772641552828,0.94381,0.0379533
2014-09-19,2210.0,1.08926,0.06404219378293521,0.95988,0.0349398
2014-09-22,-3330.0,1.08593,0.06656994465573288,0.99719,0.025408600000000003
2014-09-23,7605.0,1.093535,0.067280151069696,1.01616,0.01132775
2014-09-24,-1470.0,1.092065,0.06636729498702001,1.00032,0.025554900000000002
2014-09-25,-2300.0,1.089765,0.06622510357737678,0.99654,0.01708
2014-09-26,235.0,1.09,0.06247477064220183,0.93735,0.03602165
2014-09-29,-14760.0,1.07524,0.06515991778579666,0.966265,0.03443965000000001
2014-09-30,-3410.0,1.07183,0.0680031348254854,1.00634,0.02900205
2014-10-08,-930.0,1.0709,0.06711298907461015,0.99079,0.016436
2014-10-09,7035.0,1.077935,0.06372708001873954,0.945395,0.0574294
2014-10-10,-2645.0,1.07529,0.06455700322703643,0.95655,0.019095300000000003
2014-10-13,-595.0,1.074695,0.06538701678150545,0.96773,0.020021750000000005
2014-10-14,-1730.0,1.072965,0.06734786316422252,0.99617,0.03613960000000001
2014-10-15,1660.0,1.074625,0.06841586599976736,1.01422,0.0546364
2014-10-16,305.0,1.07493,0.0636788907184654,0.942205,0.0125307
2014-10-17,-3255.0,1.071675,0.06808650010497586,1.00608,0.012553100000000003
2014-10-20,-755.0,1.07092,0.06862646136032571,1.013435,0.0361991
2014-10-21,-5110.0,1.06581,0.06539594299171522,0.959095,0.011648000000000002
2014-10-22,-1175.0,1.064635,0.06701987065989753,0.98251,0.021506800000000003
2014-10-23,3335.0,1.06797,0.06463744299933519,0.948355,0.05519430000000001
2014-10-24,1095.0,1.069065,0.06925285179105106,1.01944,0.028917700000000005
2014-10-27,2265.0,1.0713300000000001,0.06860215806520867,1.012565,0.0366135
2014-10-28,-80.0,1.07125,0.06811463243873979,1.00464,0.032029550000000004
2014-10-29,-1665.0,1.069585,0.06935358106181369,1.021165,0.046229400000000004
2014-10-30,4415.0,1.074,0.062168435754189955,0.91577,0.0534142
2014-10-31,-440.0,1.07356,0.06838350907261821,1.01074,0.0246505
2014-11-03,6735.0,1.080295,0.06920012589153889,1.030365,0.023942800000000004
2014-11-04,5325.0,1.08562,0.06486523829701002,0.9693,0.019240200000000002
2014-11-05,6830.0,1.09245,0.06354258776145362,0.95663,0.0
2014-11-06,-1715.0,1.090735,0.06363447583510203,0.956405,0.029130500000000004
2014-11-07,-4040.0,1.086695,0.06643446413207017,0.9953,0.03435635000000001
2014-11-10,-4475.0,1.08222,0.06783357358023323,1.012455,0.016401000000000002
2014-11-11,2115.0,1.084335,0.0640745710504595,0.95639,0.0035063000000000004
2014-11-12,-6720.0,1.077615,0.0651567582114206,0.96587,0.0
2014-11-13,-1450.0,1.076165,0.06666942336909303,0.98769,0.0296065
2014-11-14,4960.0,1.0811250000000001,0.06958187073650134,1.03771,0.008001000000000001
2014-11-17,4510.0,1.085635,0.06314654557010414,0.94253,0.021510300000000003
2014-11-18,-320.0,1.085315,0.07294361544804964,1.05944,0.0594745
2014-11-19,-3875.0,1.08144,0.06550871985500814,0.975725,0.049976200000000005
2014-11-20,-12405.0,1.069035,0.06607720982007138,0.972455,0.020067250000000005
2014-11-21,5335.0,1.07437,0.06833888697562292,1.012675,0.057074450000000006
2014-11-24,845.0,1.075215,0.06825667424654605,1.01208,0.0
2014-11-25,585.0,1.0758,0.06173443019148542,0.91207,0.05989095000000001
2014-11-26,1525.0,1.077325,0.06881823033903418,1.02308,0.052445750000000006
2014-11-27,9990.0,1.087315,0.06897807902953607,1.03487,0.0
2014-11-28,-9865.0,1.07745,0.07428126595201634,1.070605,0.054945
2014-12-01,-60.0,1.07739,0.05853929403465783,0.900995,0.07102220000000001
2014-12-02,-4145.0,1.073245,0.05077591789386394,0.7785,0.027468000000000006
2014-12-03,-8595.0,1.06465,0.06117151176442962,0.930375,0.010220000000000002
2014-12-04,8390.0,1.07304,0.05915431857153508,0.906785,0.0196735
2014-12-05,2290.0,1.07533,0.06681860452140273,0.990415,0.013796
2014-12-08,11215.0,1.086545,0.06386408294180178,0.95616,0.017495100000000003
2014-12-09,-7460.0,1.079085,0.06203334306379942,0.921175,0.04922225
2014-12-10,1855.0,1.08094,0.06606305622883787,0.98596,0.0321608
