,PP.DCE,MA.CZC,ZC.CZC,L.DCE,V.DCE,EG.DCE,TA.CZC,J.DCE,RB.SHF,I.DCE,JM.DCE,HC.SHF,BU.SHF,SC.INE,FU.SHF
2017-12-15,-224.0,0.0,0.0,213.0,302.0,0,-375.0,-49.0,-262.0,197.0,0.0,255.0,-381.0,0,-264.0
2017-12-18,-220.0,0.0,0.0,211.0,299.0,0,-375.0,-46.0,-258.0,187.0,0.0,254.0,-378.0,0,-264.0
2017-12-19,-271.0,0.0,0.0,0.0,372.0,0,-466.0,-59.0,-330.0,0.0,0.0,327.0,-474.0,0,-264.0
2017-12-20,-240.0,0.0,0.0,230.0,331.0,0,-413.0,-53.0,0.0,-210.0,0.0,289.0,-421.0,0,-264.0
2017-12-21,-241.0,0.0,0.0,230.0,338.0,0,-414.0,-54.0,0.0,-209.0,0.0,286.0,-429.0,0,-264.0
2017-12-22,-241.0,0.0,0.0,231.0,335.0,0,-415.0,-52.0,0.0,-204.0,0.0,280.0,-429.0,0,-264.0
2017-12-25,-243.0,0.0,0.0,233.0,339.0,0,-414.0,-55.0,0.0,-211.0,0.0,290.0,-428.0,0,-264.0
2017-12-26,-214.0,345.0,0.0,204.0,299.0,0,-366.0,-49.0,0.0,-192.0,0.0,258.0,-384.0,0,-264.0
2017-12-27,-216.0,350.0,0.0,205.0,303.0,0,-365.0,-51.0,0.0,-194.0,0.0,259.0,-380.0,0,-264.0
2017-12-28,-240.0,391.0,0.0,228.0,337.0,0,-404.0,0.0,0.0,-214.0,0.0,289.0,-423.0,0,-264.0
2017-12-29,-239.0,389.0,0.0,227.0,334.0,0,-403.0,0.0,0.0,-209.0,0.0,289.0,-424.0,0,-264.0
2018-01-02,-234.0,380.0,0.0,223.0,328.0,0,-399.0,0.0,0.0,-204.0,0.0,283.0,-414.0,0,-264.0
2018-01-03,-234.0,382.0,0.0,223.0,328.0,0,-400.0,0.0,0.0,-207.0,0.0,288.0,-417.0,0,-264.0
2018-01-04,-233.0,379.0,0.0,222.0,326.0,0,-394.0,0.0,0.0,-204.0,0.0,287.0,-412.0,0,-264.0
2018-01-05,-234.0,380.0,0.0,223.0,325.0,0,-395.0,0.0,0.0,-206.0,0.0,289.0,-412.0,0,-264.0
2018-01-08,-233.0,371.0,0.0,223.0,325.0,0,-391.0,0.0,0.0,-200.0,0.0,288.0,-413.0,0,-264.0
2018-01-09,-191.0,305.0,0.0,183.0,268.0,0,-319.0,-44.0,238.0,-162.0,0.0,235.0,-335.0,0,-264.0
2018-01-10,-190.0,305.0,0.0,181.0,269.0,0,-321.0,-45.0,236.0,-163.0,0.0,234.0,-330.0,0,-264.0
2018-01-11,-189.0,306.0,0.0,180.0,270.0,0,-320.0,-45.0,237.0,-164.0,0.0,235.0,-331.0,0,-264.0
2018-01-12,-188.0,308.0,0.0,179.0,266.0,0,-322.0,-45.0,240.0,-167.0,0.0,237.0,-330.0,0,-264.0
2018-01-15,-188.0,310.0,0.0,180.0,267.0,0,-320.0,-46.0,239.0,-169.0,0.0,237.0,-324.0,0,-264.0
2018-01-16,-193.0,322.0,0.0,184.0,274.0,0,-323.0,-46.0,240.0,-172.0,0.0,238.0,-329.0,0,-264.0
2018-01-17,-194.0,322.0,0.0,185.0,277.0,0,-325.0,-46.0,238.0,-171.0,0.0,237.0,-329.0,0,-264.0
2018-01-18,-193.0,322.0,0.0,185.0,274.0,0,-325.0,-46.0,236.0,-169.0,0.0,235.0,-329.0,0,-264.0
2018-01-19,-192.0,325.0,0.0,184.0,273.0,0,-324.0,-46.0,232.0,-167.0,0.0,232.0,-331.0,0,-264.0
2018-01-22,-192.0,323.0,0.0,184.0,272.0,0,-321.0,-46.0,231.0,-168.0,0.0,233.0,-327.0,0,-264.0
2018-01-23,-191.0,320.0,0.0,182.0,271.0,0,-320.0,-46.0,232.0,-174.0,0.0,233.0,-328.0,0,-264.0
2018-01-24,-191.0,323.0,0.0,184.0,267.0,0,-316.0,-45.0,231.0,-174.0,0.0,231.0,-318.0,0,-264.0
2018-01-25,-191.0,320.0,0.0,183.0,265.0,0,-316.0,-44.0,229.0,-172.0,0.0,229.0,-312.0,0,-264.0
2018-01-26,-189.0,322.0,0.0,182.0,262.0,0,-317.0,-45.0,230.0,-175.0,0.0,229.0,-312.0,0,-264.0
2018-01-29,-190.0,319.0,0.0,182.0,264.0,0,-317.0,-45.0,230.0,-177.0,0.0,229.0,-310.0,0,-264.0
2018-01-30,-192.0,323.0,0.0,185.0,266.0,0,-319.0,-45.0,232.0,-176.0,0.0,231.0,-314.0,0,-264.0
2018-01-31,-191.0,327.0,0.0,186.0,264.0,0,-318.0,-45.0,232.0,-178.0,0.0,231.0,-314.0,0,-264.0
2018-02-01,-236.0,401.0,0.0,229.0,0.0,0,0.0,-56.0,283.0,-219.0,0.0,280.0,-386.0,0,-264.0
2018-02-02,-237.0,401.0,0.0,230.0,0.0,0,0.0,-54.0,281.0,-216.0,0.0,276.0,-384.0,0,-264.0
2018-02-05,-234.0,396.0,0.0,229.0,0.0,0,0.0,-52.0,280.0,-211.0,0.0,276.0,-388.0,0,-264.0
2018-02-06,-236.0,395.0,0.0,231.0,0.0,0,0.0,-52.0,282.0,-213.0,0.0,277.0,-396.0,0,-264.0
2018-02-07,-239.0,397.0,0.0,232.0,0.0,0,0.0,-52.0,282.0,-211.0,0.0,277.0,-395.0,0,-264.0
2018-02-08,-241.0,399.0,0.0,233.0,0.0,0,0.0,-52.0,283.0,-212.0,0.0,276.0,-402.0,0,-264.0
2018-02-09,-216.0,361.0,0.0,210.0,-298.0,0,0.0,-47.0,257.0,-191.0,0.0,253.0,-365.0,0,-264.0
2018-02-12,-217.0,367.0,0.0,212.0,-301.0,0,0.0,-47.0,255.0,-191.0,0.0,252.0,-370.0,0,-264.0
